f_bea_code,f_sector_name,eco_id,eco_sector_name,allocation_share,mapping_status,note
42,Wholesale trade,31,"Wholesale trade, durable goods",0.5,mapped,equal-share proxy
42,Wholesale trade,32,"Wholesale trade, nondurable goods",0.5,mapped,equal-share proxy
441,Motor vehicle and parts dealers,33,Motor vehicle and parts dealers,1,mapped,direct
445,Food and beverage stores,34,Food and beverage stores,1,mapped,direct
452,General merchandise stores,35,General merchandise stores,1,mapped,direct
4A0,Other retail,36,Other retail,1,mapped,direct
481,Air transportation,37,Air transportation,1,mapped,direct
482,Rail transportation,38,Railroad transportation,1,mapped,direct
483,Water transportation,39,Water transportation,1,mapped,direct
484,Truck transportation,40,Truck transportation,1,mapped,direct
485,Transit and ground passenger transportation,41,Transit and ground passenger transportation,1,mapped,direct
486,Pipeline transportation,42,Pipeline transportation,1,mapped,direct
487OS,Other transportation and support activities,43,Other transportation and support activities,1,mapped,direct
493,Warehousing and storage,44,Warehousing and storage,1,mapped,direct
511,"Publishing industries, except internet (includes software)",45,Publishing industries (includes software),1,mapped,closest category
512,Motion picture and sound recording industries,46,Motion picture and sound recording industries,1,mapped,direct
513,Broadcasting and telecommunications,47,Broadcasting and telecommunications,1,mapped,direct
514,"Data processing, internet publishing, and other information services",48,Information and data processing services,1,mapped,closest category
521CI,"Federal Reserve banks, credit intermediation, and related activities",49,Federal Reserve banks + Depository credit intermediation,0.5,mapped,equal-share proxy
521CI,"Federal Reserve banks, credit intermediation, and related activities",50,Other intermediation + Nondepository credit intermediation,0.5,mapped,equal-share proxy
523,"Securities, commodity contracts, and investments",51,"Securities, commodity contracts, and investments",1,mapped,direct
524,Insurance carriers and related activities,52,Insurance carriers,0.5,mapped,equal-share proxy
524,Insurance carriers and related activities,53,Insurance agencies and brokers and related services,0.5,mapped,equal-share proxy
525,"Funds, trusts, and other financial vehicles",54,"Funds, trusts, and other financial vehicles",1,mapped,direct
HS,Housing,55,Real estate,1,mapped,shared ecological category
ORE,Other real estate,55,Real estate,1,mapped,shared ecological category
532RL,Rental and leasing services and lessors of intangible assets,56,Rental and leasing services and lessors of intangible assets,1,mapped,direct
5411,Legal services,57,Legal services,1,mapped,direct
5415,Computer systems design and related services,58,Computer systems design and related services,1,mapped,direct
5412OP,"Miscellaneous professional, scientific, and technical services",59,"Miscellaneous professional, scientific, and technical services",1,mapped,direct
55,Management of companies and enterprises,60,Management of companies and enterprises,1,mapped,direct
561,Administrative and support services,61,Administrative and support services,1,mapped,direct
562,Waste management and remediation services,62,Waste management and remediation services,1,mapped,direct
61,Educational services,63,Educational services,1,mapped,direct
621,Ambulatory health care services,64,Ambulatory health care services,1,mapped,direct
622,Hospitals,65,Hospitals,1,mapped,direct
623,Nursing and residential care facilities,66,Nursing and residential care facilities,1,mapped,direct
624,Social assistance,67,Social assistance,1,mapped,direct
711AS,"Performing arts, spectator sports, museums, and related activities",68,"Performing arts, spectator sports, museums, and related activities",1,mapped,direct
713,"Amusements, gambling, and recreation industries",69,"Amusements, gambling, and recreation industries",1,mapped,direct
721,Accommodation,70,Accommodation,1,mapped,direct
722,Food services and drinking places,71,Food services and drinking places,1,mapped,direct
81,"Other services, except government",72,"Other services, except government",1,mapped,direct
GFGD,Federal general government (defense),,,0,unmapped,no ecological counterpart
GFGN,Federal general government (nondefense),,,0,unmapped,no ecological counterpart
GFE,Federal government enterprises,,,0,unmapped,no ecological counterpart
GSLG,State and local general government,,,0,unmapped,no ecological counterpart
GSLE,State and local government enterprises,,,0,unmapped,no ecological counterpart

