variant,technology_mode,year,published,fulfillment,harmony,investment_real_musd,stock_end_real_musd,gross_realized_real_musd,gross_bea_real_musd
E_corrected_baseline,historical,2020,1,0.8742122870899487,0.4428157462126655,984960.9264629821,59199127.65858,27485371.68583722,36455308.82220587
E_corrected_baseline,historical,2021,1,0.7905333877450792,0.41815362419384855,1261860.6216090685,57247633.97734751,27397085.894162808,39005228.98661136
E_corrected_baseline,historical,2022,1,0.772034949730747,0.4124041326481581,908239.7416258131,55005175.261257306,26907304.081449166,40214441.00726878
E_corrected_baseline,historical,2023,1,0.6304525492846146,0.36432813459418434,2553839.649018788,54565914.083380215,25930082.29619683,41278486.467013575
E+1_legacy_maxmin_diagnostic,historical,2019,1,0.7450927992088061,0.40382402420534574,1031312.9529016435,61798524.79103665,24675058.71899906,37657954.0
E+1_legacy_maxmin_diagnostic,historical,2020,1,0.7681152557986525,0.41117123443771114,822553.1214660429,59287200.3226057,24046303.84448929,36455308.82220587
E+1_legacy_maxmin_diagnostic,historical,2021,1,0.7451340238488702,0.40383734418085937,548103.5631283617,56658527.90231094,24551672.000153475,39005228.98661136
E+1_legacy_maxmin_diagnostic,historical,2022,1,0.7451561060286397,0.403844478845994,129518.83586730796,53784893.436514884,24503865.806710612,40214441.00726878
E+1_legacy_maxmin_diagnostic,historical,2023,1,0.7451140356802017,0.40383088593519656,0.0,51002847.41014193,24784588.693224218,41278486.467013575
E+2_forward_cell,historical,2019,1,0.8555829888422466,0.4375078908560014,1055949.1378798722,61823160.976014875,28069777.125933845,37657954.0
E+2_forward_cell,historical,2020,1,0.8537613469341797,0.43698343621849844,1827568.2685658159,60362002.63062717,28374201.94635218,36455308.82220587
E+2_forward_cell,historical,2021,1,0.8537613469341797,0.43698343621849844,1286878.1247946345,58401458.17706556,29424590.40351267,39005228.98661136
E+2_forward_cell,historical,2022,1,0.8537613469341797,0.43698343621849844,1464679.8546700089,56689303.49026115,30751809.75287267,40214441.00726878
E+2_forward_cell,historical,2023,1,0.8537613469341797,0.43698343621849844,0.0,53635857.63026789,28398503.870109003,41278486.467013575
E+3_dynamic_bundle,historical,2019,1,0.9729104022530864,0.46934513001411504,1765506.5482882115,62532718.386423215,32725646.245368153,37657954.0
E+3_dynamic_bundle,historical,2020,1,0.9729104022530864,0.46934513001411504,3386833.342682763,62490573.97931405,34234485.07939247,36455308.82220587
E+3_dynamic_bundle,historical,2021,1,0.9729104022530864,0.46934513001411504,3370540.791756822,62383508.17725813,36222065.80696336,39005228.98661136
E+3_dynamic_bundle,historical,2022,1,0.9729104022530864,0.46934513001411504,2727806.309723984,61619877.20810303,36063396.953679785,40214441.00726878
E+3_dynamic_bundle,historical,2023,1,0.9730205793069617,0.46937333329911046,0.0,58221875.28022861,32365401.39275567,41278486.467013575
F_corrected_5plus3_shadow,historical,2019,1,0.967334949285242,0.4679139921761044,1859580.2919997731,62626792.13013477,32716554.09423697,37657954.0
F_corrected_5plus3_shadow,historical,2020,1,0.967334949285242,0.4679139921761044,3613308.810622297,62799495.21268278,34489834.802404575,36455308.82220587
F_corrected_5plus3_shadow,historical,2021,1,0.967334949285242,0.4679139921761044,3813705.1865388155,63083662.92295795,36885282.9419844,39005228.98661136
F_corrected_5plus3_shadow,historical,2022,1,0.967334949285242,0.4679139921761044,3779397.492128174,63266273.94350374,37841708.823839396,40214441.00726878
F_corrected_5plus3_shadow,historical,2023,1,0.967334949285242,0.4679139921761044,3679108.803760457,63291212.31817354,38133288.75450931,41278486.467013575
F_corrected_5plus3_shadow,historical,2024,0,0.967334949285242,0.4679139921761044,3024602.326437014,62660464.13727797,36763307.44139227,
F_corrected_5plus3_shadow,historical,2025,0,0.9673598998946089,0.46792041383018185,2498465.1823621965,61559555.10615442,35700501.18622428,
F_corrected_5plus3_shadow,historical,2026,0,0.96765265926642,0.4679957510899013,0.0,58128295.12474159,32186849.273251582,
